level_0,OD,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
0,12_16,0.0,836.482608496572,0.0,0.0,0.0,0.1318159912928012,3.283422598628655,0.0,0.0,0.0,0.0333,0,28990.62853610083
1,12_24,0.0,382.5060812909668,0.0,0.0,0.0,0.2719501886130301,8.615242439482955,0.0,0.0,0.0,0.05,0,28990.62853610083
2,13_16,0.1195886637338931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.1195886637338931,10.0,0,28990.62853610083
3,13_23,2.158860644353435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,2.158860644353435,10.0,0,28990.62853610083
4,13_24,0.08746658220937963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.08746658220937963,10.0,0,28990.62853610083
5,14_12,0.08980994826575822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.482608496572,0.08980994826575822,10.0,0,28990.62853610083
6,14_16,1.34388366933136,0.0,-3.1,-0.5031651007994081,-0.8331623015932985,0.0,0.0,0.0,1163.517391503428,1.34388366933136,10.0,0,28990.62853610083
7,14_23,2.151989103752329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,2.151989103752329,10.0,0,28990.62853610083
8,16_24,1.324206874988374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,1.324206874988374,10.0,0,28990.62853610083
9,1_24,1.344627174399824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.344627174399824,10.0,0,28990.62853610083
10,23_12,0.87316287694958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.5060812909668,0.87316287694958,10.0,0,28990.62853610083
11,23_13,2.158860644353435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,2.158860644353435,10.0,0,28990.62853610083
12,23_14,2.15198910375233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,2.15198910375233,10.0,0,28990.62853610083
13,23_24,2.132312309409343,0.0,-3.1,-0.7396936928228028,-2.181582407565374,0.0,0.0,0.0,1617.493918709033,2.132312309409343,10.0,0,28990.62853610083
14,23_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,10.0,0,28990.62853610083
15,24_16,1.324206874988374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,1.324206874988374,10.0,0,28990.62853610083
16,24_23,2.132312309409343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,2.132312309409343,10.0,0,28990.62853610083
17,3_13,1.21744966378938,383.0116721405905,-1.905490076016242,-0.4652348991368139,0.0,0.188899543626735,8.644051064641106,0.0,1616.98832785941,1.21744966378938,0.0667,0,28990.62853610083
18,3_16,1.320322491711564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.320322491711564,10.0,0,28990.62853610083
19,3_23,3.359594472331106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,3.359594472331106,10.0,0,28990.62853610083
20,3_24,1.288200410187051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.288200410187051,10.0,0,28990.62853610083
21,8_24,1.294867094340983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,1.294867094340983,10.0,0,28990.62853610083
22,9_13,0.08494683008157085,285.7086782505323,-1.041802257632799,-0.1254840490244712,0.0,0.1409101676460466,4.422646036694924,0.0,714.2913217494677,0.08494683008157085,0.05,0,28990.62853610083
0,12_16,0.0,836.5145504734037,0.0,0.0,0.0,0.1318178439274574,3.283660554777812,0.001195433063091641,0.0,0.0,0.0333,1,28990.4342116384
1,12_24,0.0,382.5057252127424,0.0,0.0,0.0,0.2719500129969354,8.615222180460187,0.0,0.0,0.0,0.05,1,28990.4342116384
2,13_16,0.1195886214617272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.1195886214617272,10.0,1,28990.4342116384
3,13_23,2.158843297514596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,2.158843297514596,10.0,1,28990.4342116384
4,13_24,0.087466788878338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.087466788878338,10.0,1,28990.4342116384
5,14_12,0.08981084214832542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.5145504734037,0.08981084214832542,10.0,1,28990.4342116384
6,14_16,1.343865371103802,0.0,-3.1,-0.5031596113311406,-0.8330911734719879,0.0,0.0,0.0,1163.485449526596,1.343865371103802,10.0,1,28990.4342116384
7,14_23,2.151971555808563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,2.151971555808563,10.0,1,28990.4342116384
8,16_24,1.324188582324847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,1.324188582324847,10.0,1,28990.4342116384
9,1_24,1.3446273811725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.3446273811725,10.0,1,28990.4342116384
10,23_12,0.8731628538806366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.5057252127424,0.8731628538806366,10.0,1,28990.4342116384
11,23_13,2.158843297514596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,2.158843297514596,10.0,1,28990.4342116384
12,23_14,2.151971555808564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,2.151971555808564,10.0,1,28990.4342116384
13,23_24,2.132294767029608,0.0,-3.1,-0.7396884301088824,-2.18157829590245,0.0,0.0,0.0,1617.494274787257,2.132294767029608,10.0,1,28990.4342116384
14,23_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,10.0,1,28990.4342116384
15,24_16,1.324188582324847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,1.324188582324847,10.0,1,28990.4342116384
16,24_23,2.132294767029609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,2.132294767029609,10.0,1,28990.4342116384
17,3_13,1.217449663668634,383.0116721549675,-1.905490075933592,-0.4652348991005903,0.0,0.1888995436338257,8.64405106546154,0.0,1616.988327845032,1.217449663668634,0.0667,1,28990.4342116384
18,3_16,1.320322449543116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.320322449543116,10.0,1,28990.4342116384
19,3_23,3.359577125595985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,3.359577125595985,10.0,1,28990.4342116384
20,3_24,1.288200616959727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.288200616959727,10.0,1,28990.4342116384
21,8_24,1.294867301113659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,1.294867301113659,10.0,1,28990.4342116384
22,9_13,0.08494752195067298,285.7086963683291,-1.041802376415281,-0.1254842565852019,0.0,0.1409101765816582,4.422646618034594,0.0,714.2913036316709,0.08494752195067298,0.05,1,28990.4342116384
0,12_16,0.0,836.54648959819,0.0,0.0,0.0,0.131819696396695,3.283898502897627,0.00239077820248708,0.0,0.0,0.0333,2,28990.23990774509
1,12_24,0.0,382.5053691528618,0.0,0.0,0.0,0.2719498373898878,8.615201922523765,0.0,0.0,0.0,0.05,2,28990.23990774509
2,13_16,0.1195885792321505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.1195885792321505,10.0,2,28990.23990774509
3,13_23,2.158825952421697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,2.158825952421697,10.0,2,28990.23990774509
4,13_24,0.08746699553269999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.08746699553269999,10.0,2,28990.23990774509
5,14_12,0.08981173597291967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.54648959819,0.08981173597291967,10.0,2,28990.23990774509
6,14_16,1.34384707472442,0.0,-3.1,-0.503154122417326,-0.8330200524701605,0.0,0.0,0.0,1163.45351040181,1.34384707472442,10.0,2,28990.23990774509
7,14_23,2.151954009625048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,2.151954009625048,10.0,2,28990.23990774509
8,16_24,1.324170291509212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,1.324170291509212,10.0,2,28990.23990774509
9,1_24,1.344627587940064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.344627587940064,10.0,2,28990.23990774509
10,23_12,0.8731628308146503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.5053691528618,0.8731628308146503,10.0,2,28990.23990774509
11,23_13,2.158825952421697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,2.158825952421697,10.0,2,28990.23990774509
12,23_14,2.151954009625049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,2.151954009625049,10.0,2,28990.23990774509
13,23_24,2.132277226409839,0.0,-3.1,-0.7396831679229516,-2.181574184709035,0.0,0.0,0.0,1617.494630847138,2.132277226409839,10.0,2,28990.23990774509
14,23_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,10.0,2,28990.23990774509
15,24_16,1.324170291509212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,1.324170291509212,10.0,2,28990.23990774509
16,24_23,2.13227722640984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,2.13227722640984,10.0,2,28990.23990774509
17,3_13,1.217449663557768,383.0116721529953,-1.905490075906701,-0.4652348990673304,0.0,0.188899543632853,8.644051065348991,0.0,1616.988327847005,1.217449663557768,0.0667,2,28990.23990774509
18,3_16,1.320322407426742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.320322407426742,10.0,2,28990.23990774509
19,3_23,3.359559780616288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,3.359559780616288,10.0,2,28990.23990774509
20,3_24,1.288200823727291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.288200823727291,10.0,2,28990.23990774509
21,8_24,1.294867507881223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,1.294867507881223,10.0,2,28990.23990774509
22,9_13,0.08494821377709261,285.7087144706238,-1.041802495260924,-0.1254844641331278,0.0,0.1409101855096242,4.422647198876915,0.0,714.2912855293762,0.08494821377709261,0.05,2,28990.23990774509
0,12_16,0.0,836.5784257819478,0.0,0.0,0.0,0.131821548695353,3.284136442322308,0.00358603211231017,0.0,0.0,0.0333,3,28990.04562475876
1,12_24,0.0,382.5050131287802,0.0,0.0,0.0,0.271949661800496,8.615181666666796,0.0,0.0,0.0,0.05,3,28990.04562475876
2,13_16,0.1195885370446912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.1195885370446912,10.0,3,28990.04562475876
3,13_23,2.158808609113433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,2.158808609113433,10.0,3,28990.04562475876
4,13_24,0.08746720217120116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.08746720217120116,10.0,3,28990.04562475876
5,14_12,0.0898126297367353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.5784257819478,0.0898126297367353,10.0,3,28990.04562475876
6,14_16,1.343828780234995,0.0,-3.1,-0.5031486340704985,-0.8329489387828568,0.0,0.0,0.0,1163.421574218052,1.343828780234995,10.0,3,28990.04562475876
7,14_23,2.15193646524147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,2.15193646524147,10.0,3,28990.04562475876
8,16_24,1.324152002582973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,1.324152002582973,10.0,3,28990.04562475876
9,1_24,1.344627794691864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.344627794691864,10.0,3,28990.04562475876
10,23_12,0.8731628077518563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.5050131287802,0.8731628077518563,10.0,3,28990.04562475876
11,23_13,2.158808609113433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,2.158808609113433,10.0,3,28990.04562475876
12,23_14,2.151936465241471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,2.151936465241471,10.0,3,28990.04562475876
13,23_24,2.132259687589449,0.0,-3.1,-0.7396779062768346,-2.181570073940529,0.0,0.0,0.0,1617.49498687122,2.132259687589449,10.0,3,28990.04562475876
14,23_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,10.0,3,28990.04562475876
15,24_16,1.324152002582973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,1.324152002582973,10.0,3,28990.04562475876
16,24_23,2.132259687589449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,2.132259687589449,10.0,3,28990.04562475876
17,3_13,1.217449663447016,383.0116721508444,-1.905490075880421,-0.465234899034105,0.0,0.1888995436317922,8.644051065226254,0.0,1616.988327849155,1.217449663447016,0.0667,3,28990.04562475876
18,3_16,1.320322365352582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.320322365352582,10.0,3,28990.04562475876
19,3_23,3.359542437421323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,3.359542437421323,10.0,3,28990.04562475876
20,3_24,1.288201030479092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.288201030479092,10.0,3,28990.04562475876
21,8_24,1.294867714633024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,1.294867714633024,10.0,3,28990.04562475876
